index,respondent_id,date_created,NPS,Comentario,Sucursal,Mes - Año,Clasificacion_NPS
343,114652970077,2024-07-26,5,"me encantan las maquinas, aunque hay horarios imposibles.  Deberia haber algun perchero dentro de los baños, no hay donde colgar nada. ",Cid Campeador,07-2024,Promotor
347,118430868124,2023-09-29,5,Me siento cómoda y me gusta el ambiente,Punta Carretas,09-2023,Promotor
350,114432321081,2023-10-09,4,Buen ambiente,Flores,10-2023,Promotor
351,114436744109,2023-10-14,5,Buena atencion buenos profesires limpio   Faltaria arreglo de cintas y mantenimirnto recepcionistas de lujo,Flores,10-2023,Promotor
352,114553125532,2024-03-14,3,"Cuando ingresé a Fiter estaba muy contenta con todo.. ahora puedo destacar que no tenemos las clases de local gym de las 10 15 como corresponden con un profesional asignado, hoy se suspendió la clase. Los elementos como tobilleras hay que renovarlos y sacar los que no están bien. La limpieza no es la misma, no por la persona que la hace sino por cómo recibe esta el gym cuando tiene que empezar a trabajar y no le da el tiempo para que la limpieza esté como corresponde. Yo uso más las clases que las máquinas...y voy sólo por la mañana al centro Barrio Norte.",Barrio Norte,03-2024,Pasivo
353,118649711236,2024-07-17,3,"Se han ido profesores especializados y no se contrataron nuevos (Ej. estiramiento) y algunos elementos deben cambiarse por estar viejos o rotos (tobilleras, colchonetas, algunas máquinas ..)",Barrio Norte,07-2024,Pasivo
357,118558322564,2024-03-13,5,"me agrada la atmósfera de trabajo y respeto que reina en el gimnasio. Los profesores son amables, capacitados y abiertos a las consultas. El material que utilizo es el adecuado aunque me gustaría que hubiera alguna bicicleta fija más. La temperatura es la adecuada. ",Caballito,03-2024,Promotor
358,114434299172,2023-10-11,5,"Los coordina dores/profesores son muy atentos y eficientes. El entorno es muy positivo, con respeto y amabilidad. Mi solicitud de que haya alguna sede para domingos 10 a 14 hs tentativamente ya que a mi alrededor hay 3  sedes vecinas. gracias",Caballito,10-2023,Promotor
359,114552357126,2024-03-13,4,Higiene aparatos en buen estado aunque para alguna actividad hay uno solo  Cordialidad ,Caballito 2,03-2024,Promotor
360,118441254623,2023-10-11,5,Variedad de opciones en entrenamiento   Aparatos modernos aunque agregaría Algunos más en aductores  abdominales   Buena higiene  Cordialidad del personal   Me siento cómoda ,Caballito 2,10-2023,Promotor
362,114555876135,2024-03-18,5,"Las instalaciones y el personal siempre a disposición. Sólo que a determinadas horas, deberían controlar un poco a los adolescentes.  ",Nuñez,03-2024,Promotor
363,118440080741,2023-10-10,5,La seriedad de su personal. Higiene de las instalaciones.  Horarios. ,Nuñez,10-2023,Promotor
